Author	Contribution Entry	Column	Year	Issue
Lawson, Henry	666 Kamarád našeho táty - Mitche/1 o manželství - Dva psi u plotu. (Povídky.) Povídku Mitchell o manželství přeložila z angličtiny Zora Wolfová, ostatní Wanda Beranová. Ilustrace k povídce Kamarád našeho táty Karel Hruška. 3/3, str. 63-69. - Vyšlo pod souborným názvem Příběhy z Austrálie.	English	1958	3
Lawson, J. Howard	667 Umělec, který se boji života, je ztracen! (Citát.) Přeloženo z angličtiny. 1 /3, str. 206.	English		
Laxness, Halldór Kiljan	666 Hodná slečna a Panstvo. (Novela.) Z islandštiny přeložil a úvodní studii napsal Josef B. Michl. Kresby Václav Sivko. 2/1, str. 51-63. - Fotografie autora.	Icelandic	1957	
Laxness, Halldór Kiljan	669 Nový Island. (Povídka.) Z islandštiny přeložila Helena Kadečková. 7/3, str. 142-146. 1 obr.	Icelandic	1962	3
Lec, Stanistaw Jerzy	690 Nečesané myšlenky. (Aforizmy.) Z polštiny přeložil a úvodní poznámku napsal Jaroslav Langer. 4/6, str. 196-199. - Fotografie autora.	Polish	1959	6
Le Clézio, Jean Marie Gustave	691 Den, kdy Beaumont poznal svou bolest. (Povídka.) Z francouzštiny přeložila Věra Dvořáková. Ilustrovala Olga Karlíková. 10/6, str. 61-72. - Vychází pod společným názvem 17 mladých prozaiků, 16 mladých básníků, 33 mladých autorů a se slovníčkem spisovatelů.	French	1965	6
Ledig, Gert	692 Pěstnl právo. (Román.) Z němčiny přeložila Věra Urychová. Ilustroval Radim Malát. 4/1, str. 56-64; 4/2, str. 57-100. - Fotografie autora.	German	1959	1
Lefebvre, Henri	693 Přlspěvek k estetice. (Podnět k diskusi o marxistické estetice.) Z francouzštiny přeložil Josef Pospíšil. 1 /1, str. 212-234; 1/2, str. 196-210; 1/3, str. 213--224. - Ediční poznámka.	French	1956	2
Leff, David • Smutný, Pavel	694 tivot na planetě USA. Vance Packard: Umění skrytě ovlivňovat, Umění společenského prestiže, Umění plýtvat. Recenze s ukázkami. 6/4, str. 211-226. - Ukázky americké reklamy.		1961	4
Le Floc'h, Yvette	69S Bdsně Alžfru, minarety bolesti. (O současné alžírské poesii.) Z francouzštiny přeložil -Pk- (= Jindřich Pokorný). 5/2, str. 134-140. - Kresby Borise Taslitzkého. Následuje výbor z alžírské poesie pod názvem Důvěrný vzkaz.	French	1960	2
Le Floc'h, Yvette	696 Být či nebýt - to je otdzka Mandarinů Simony de Beauvoir. Recenze s ukázkami. Z francouzštiny přeložila A. H. (= Alena Hartmanová). Ukázku přeložily A. T. (= Alena Hartmanová a Tamara Sýkorová). 1/3, str. 226-233. - Poznámka o autorce románu.	French	1956	3
Le Floc'h, Yvette	"697 Francouzský romdn proti vodlkové bombě. Recenze románu M. Monodové „Mračno"". Z francouzštiny přeložila A. H. (= Alena Hartmanová). 1/5, str. 239-240. - Fotografie obálky francouzského vydání."	French	1956	5
Le Floc'h, Yvette	"698 Je Franfoise Saganová jenom „Best Se//er""? (Úvaha nad romány Bonjour, tristesse a Un certain sourire.) Z francouzštiny přeložil Jan Svoboda. 2/1, str. 2S0-2S3. - Fotografie F. Saganové."	French	1957	
Leiris, Michel	699 Věk srdci. (Básně.) Vybral, z francouzštiny přeložil a úvod napsal Jan Vladislav. 9/4, str. 13-23. - Fotografie autora. Nic nikdy nekončí - Noc - Oblaka - Krúsná - Životopis - Návrat - Mládl - Léna - Bratr a sestra - Věk srdci - Anděl smrti.	French	1964	4
Lemma, Menguestu	700 Budoucnost klasické ethiopské poesie. Přeložila E. M. (= Eva Masnerová). Poznámku o Ethiopii napsal Lubomír Dorůžka. Jako ilustrací použito ethiopských dětských kreseb. 2/2, str. 214-221.		1957	2
Lengyel, József	701 Čarodějnlk. (Novela.) Z maďarštiny přeložila a úvodní poznámku napsala Magda Reinerová. Ilustrovala Božena Bruderhansová. 9/2, str. 29-S8. - Fotografie autora.	Hungarian	1964	2
Lenico, Jan 	Ukázky z dl/a. Viz zázn. S53.			
Lenin, Vladimir ll'jič	702 Ať si buržoasie a pacifisté, generálové a ma/oměUdci, kapitalisté a šosáci, všichni věř/cf křesťané .. , (Citát.) Přeloženo z ruštiny. 2/S, str. 1.	Russian		
Lenin, Vladimir ll'jič	703 Forma je podstatnd ... (Citát.) Přeloženo z ruštiny. 3/1, str. 22S.	Russian	1958	1
Lenin, Vladimir ll'jič	704 Jedním z největších zel a pohrom, které nám zanechala stará kapitalistická společnost. .. (Citát.) Přeloženo z ruštiny. 2/5, str. 204.	Russian	1957	5
Lenin, Vladimir ll'jič	705 Marxovo učen{ je všemocné, poněvadž je pravdivé ... (Citát.) Přeloženo z ruštiny. 2/5, str. 172.	Russian	1957	5
Lenin, Vladimir ll'jič	706 Materialismus v sobě zahrnuje myšlenku stranickosti ... (Citát.) Přeloženo z ruštiny. 2/5, str. 226.\	Russian	1957	5
Lenin, Vladimir ll'jič	707 O revisionismu. (Citát.) Přeloženo z ruštiny. 2/5, str. 128.	Russian	1957	5
Lenin, Vladimir ll'jič	708 Proletářská kultura nepadá shůry. .. (Citát.) Přeloženo z ruštiny. 2/5, str. 86.	Russian	1957	5
Lenin, Vladimir ll'jič	709 Střežit dědictví zdaleka neznamená omezovat se na dědictví. (Citát.) Přeloženo z ruštiny. 2/5, str. 247.	Russian	1957	5
Lenin, Vladimir ll'jič	71 O Význam fantasie. (Citát.) Přeloženo z ruštiny. 2/5, str. 57.	Russian	1957	5
Lenz, Siegfried	711 Majáková loď. (Novela.) Z němčiny přeložili Bedřich Becher a Rio Preisner. Ilustroval Vladimír Nárožník. Závěrečnou stať o autorovi napsal František Černý. 8/6, str. 144-190. - Fotografie autora.	German	1963	6
Leonov, Leonid	712 Útěk Mr MacKinleye. Filmová novela. Z ruštiny přeložil Josef Dítě. Medailón napsal Miroslav Drozda. Ilustroval Vladimír Tesař. 7/2, str. 1--65.	Russian	1962	2
Leppa, Allen	The Challenge of Modern Art (Výzva moderního umění). Recenze s ukázkami. Viz zázn. 1431.			
Lessa, Orígines	713 ~ónosuké. (Povídka.) Z portugalštiny přeložil a poznámku na str.138 napsal Eugen Spálený. Ilustrace Zdeněk Virt. 4/4, str. 170-174.	Portuguese	1959	4
Lessing, Doris	714 Britštf spisorntelé v Jižnf Africe. Z anglického originálu přeložil J. P. (= Josef Škvorecký). 1/5, str. 195-196. - Fotografie autorky.	English	1956	5
Lessing, Doris	715 Nevěsta za dobytek. (Povídka.) Z angličtiny přeložila Zora Wolfová. Ilustroval Paul Hogarth. 3/5, str. 80-114. - Následuje stať Petra Pujmana Dosavadní tvorba Doris Lessingové.	English	1958	5
Levi, Carlo	Le parole sono pietre (Slova jsou kameny). Recenze s ukázkami. Viz zázn. 364.			
Levý, Jli'f	716 K prdci v dějindch českého pfekladu. 2/4, str. 198-207.		1957	4
Levý, Jli'f	717 William Blake. (Studie.) 2/6, str. 10-16.		1957	6
Lewis, Sinclaire	"718 Hal mluv( o literatuře. Dopis komisi pro udělování Pulitzerovy ceny přeložil z angličtiny Josef Škvorecký, ostatní František Jungwirth. 1/5, str. 138-156. - Fotografie autora. Karikatura od Covarrubiase. Lewisův strojopis s jeho rukopisnými poznámkami. Dopis komisi pro udčlovánf Pulitzerovy ceny (1926) - Americký strach z literatury. (Projev S. L. při udělování Nobelovy ceny 12. 12. 1930) - Umělec , vědec a mír (Rozhlasový projev 16. 12.1944) - P~edmluva k „Otcům a dětem "" - Jak jsem napsal román ve vlacích a v k uchyni u mycího stolu."	English	1956	5
Libbrecht, Geo To už je země a to je svět . (Báseň.) Viz zázn. 627.				
Lichonosov, Viktor	719 Hospodyně. (Povídka.) Z ruštiny přeložila Anna Nováková. Ilustrovala Olga Karlíková. 10/6, str. 73-79. - Vychází pod společným názvem 17 mladých prozaiků, 16 mladých básníků, 33 mladých autorů a se slovníčkem spisovatelů.	Russian	1965	6
Lichtenberg, Georg Christoph	720 Aforismy. Vybral a z němčiny přeložil Jiří Konůpek. 1/6, str. 147-150. - Poznámka s dobovým portrétem autora.	German	1956	6
Lima, José Lézama	Zrozen( Havany. (Báseň.) Viz zázn. 1065.			
Lindsay, Jack	Poslední slova s Dylanem Thomasem. (Báseň.) Z angličtiny přeložil J. C. (= Jindřich Chalupecký). Viz zázn. 1265.	English		
Llndsay, Vachel	721 Studie o černošském plemenu. (Básně.) Z angličtiny přeložil Stanislav Mareš. Kresby Vachel Lindsay. 1/5, str. 2-11. - Úvodní stať s fotografií autora. Kongo - Duchové bisonů .	English	1956	5
Linhart, Lubomír	722 Avantgardní fotograf Alexandr Rodčenko. (Studie.) 5/3, str. 80-82. - Ukázky: Portrét umělcovy ženy, Básník Nikolaj Asejev, Maminka.		1960	3
Llpschitz, Jacques	723 Amadeo Modigliani. Z francouzštiny přeložila Libuše Kovářová . 6/6, str. 229-232. - Fotografie malíře a portrét manželů Lipschitzových od Amadea Modiglianiho.	French	1961	6
Literární	"724 Literám/ dědictví Sergeje Jesenina. Přetištěno z časopisu „Literaturnaja gazeta"" č . 146 z 8. 12. 1956. Z ruštiny přeložila L. D. (= Ludmila Dušková). 2/2, str. 239-240."	Russian	1957	2
Lobo, Baltazar	725 Reprodukce obrazu. 4/2, str. 108.		1959	2
Logue, Christopher	"726 Anglické písničky. (Ukázky ze songů ke hře Harryho Cooksona „Lily White Boys"".) Přeložil Josef Hiršal. Doprovázeno fotografiemi z inscenace „Chlapců jako lilie"". 7/6, str. 52-58. - Poznámka o autorovi s fotografií. Předák mládeže rad( k nezávislosti a zdvo~ilosti - Píser\ o přírod• nim bohatství - Mladý hrdina zpívá písei'\ o vlastní moudrosti - Dlvčl příležitostný sbor - Chlapecký přlležitostný sbor - Pise~ o žoku zlata - Jeannie o c.eně mravních zásad - Píseň a11glických obchodních agentů - Písei'\ o skutečných hodnotách - Chorál ."		1962	6
Lo-Johansson, Ivar	727 Jezdci - Angela a kytka. (Povídky.) Ze švédštiny přeložil Oldřich Liška. 4/3, str. 158-164. - Reprodukce kresby Erika Prytze a obrazu Lennarta Grama. Závěrečná poznámka Jana Raka K současné švédské povídce na str. 181.	Swedish	1959	3
Lovecká	728 Lovecká plseň. Jihovýchodní Afrika. Přeložil Ladislav Novák. 4/3, str. 83.		1959	3
Lovell,Jerzy	729 Putovánl do života. (Reportáže.) Z polštiny přeložila Helena Stachová. 8/2, str. 132-149. 2 fot. Vzbouřenci nechtějí do ráje - Nezvaný host p ř ijde zítra - Smrt v ocelovém sídlišti - Putuilcl lásky.	Polish	1963	2
Lowenfels, Walter	Pět básni z vězenl (Nejsme sami, Vrata, Leonardo, Hlavně pro vás, Po návratu z vězení) . Viz zázn. 76.			
Lowry, Malcolm	730 Pfítomnost Pompejl. (Novela.) Z angličtiny přeložil a poznámku o autorovi napsal Jan Válek. Ilustroval Bedřich Dlouhý. 9/3, str. 23-38. - Fotografie autora.	English	1964	3
Lukács, Gyorgy	"731 Vyprávět či popisovat? K diskusi o naturalismu a formalismu. Literárně estetická studie ze souboru „Probleme des Realismus"". Z němčiny přeložil Rudolf Toman. 1/4, str. 199-221. - Redakční poznámka."	German	1956	4
Lukeš, Milan	"732 Naděje amerického dramatu. (Studie o americkém dramatiku Edwardu Albeem.) Ukázku z dramatu „Kdopak by se Kafky bál!"" z angličtiny přeložili Bedřich Becher a Jiří Kolář. 9/2, str. 201-214. - Fotografie E. Albeeho a 3 ukázky z newyorské inscenace hry."	English	1964	2
Lukonin, Michail Kuz'mič	733 Ver§e dálkových tras. (Básně.) Z ruštiny přeložil Jiří Taufer. 9/2, str. 126-132. - Předchází stať Jiřího Taufra o autorovi. Taufer. 9/2, str. 126-132. - Předchází stať Jiřího Taufra o autorovi. Žlze~ - Verše dálkových tras - Jaro - Ty - Po všem - Rozloučeni s básni.	Russian	1964	2
Lunačarskij, Anatolij Vasil'jevič	734 Dostojevskij - myslitel a umělec. Z ruštiny přeložili L. Dušková a J. Hulák. 2/3, str. 1-11.	Russian	1957	3
Lunačarskij, Anatolij Vasil'jevič	735 O socialistickém realismu v souvislosti s úkoly sovětské dramatické tvorby - O uměn( a literatuře. (Přednášky.) Z ruštiny přeložil Vlad. Blažek. 2/5, str. 99-127. - Fotografie autora. Předchází studie O dvou přednáškách A. V. Lunačarského od Václava Zykmunda.	Russian	1957	5
Lundkvist, Artur	736 Katolická loď - tivý obraz - tije s koněm. (Povídky.) Ze švédštiny přeložil Josef Jebavý. 4/3, str. 169-172. - Reprodukce obrazu Alberta Engstrčima Aiolova harfa. Závěrečná poznámka Jana Raka K současné švédské povídce na str. 181. Straka. (Báseň.) Viz zázn. 790.	Swedish	1959	3
Lu Siin	737 Jak tuang-ť oživil lebku. Povídka ze sbírky historických povídek Staré příběhy v novém rouše. Z čínštiny pfeložiia Berta Krebsová. Obrázek nakreslil Ota Janeček. 1/3, str. 117-124. - Poznámka o autorovi.	Chinese	1956	3
Lu Siin	738 O literatuře. (Citáty.) Vybrala a z čínštiny přeložila Berta Krebsová. 4/5, str. 166-171. - Úvodní poznámka.	Chinese	1959	5
Maanen, Willem G. van	739 Rozsévač nepokoji>. (Román.) Z holandštiny přeložila Olga Krytová. Ilustroval Jiří Balcar. 3/6, str. 1-49. - Poznámka na závěr s fotografií autora.	Dutch	1958	6
McCullers, Carson	740 Balada o smutné kavárně. (Novela.) Z angličtiny přeložila Jarmila Fastrová. Ilustroval Vladimír Tesař. Úvodní poznámku napsala em (= Eva Masnerová). 9/4, str. 74-104. - Fotografie autorky.	English	1964	4
McCullers, Carson	741 Jockey. (Povídka.) Z angličtiny přeložil Karel F. V. Salaquarda. Ilustroval Jiří Balcar. 4/6, str. 55-58. - Poznámka.	English	1959	6
MacDiarmid, Hugh	742 Pýcha Skotska - Nachýlený náhrobek - Za křovím . (Verše.) Z angličtiny přeložil Jiří Valja. 7/4, str. 173 až 175. - Redakční poznámka. Karikatura básníkova od McKennyho.	English	1962	4
MacDonagh, Donagh	743 Šťastni jako Larry. (Hra.) Z angličtiny přeložil Jiří Konůpek. 2/3, str. 79-103.	English	1957	3
MacGrath, Thomas	744 Poznámky o Edwinu Rolfovi. (Životopisná studie s ukázkami.) Z angličtiny přeložil Josef Schwarz, verše Jan Zábrana. 3/2, str. 41-45. - Fotografie Edwina Rolfa. Vyšlo pod společným názvem Dva básníci The California Quaterly. Následuji básně ze sbírky E. Rolfa Dopřejte mi přístřeší. V ukázkách uvedeny básn ě : Definice - Elegie za naše mrtvé - První láska.	English	1958	2
MacGrath, Thomas	745 Z dl/a. (Básně.) Z angličtiny přeložil Stanislav Mareš. 3/2, str. 35-40. - Fotografie autora. Vyšlo pod společným názvem Dva básníci The California Quaterly. Fotografie titulního listu The California Quaterly Vol. 4, No. 1. 1956. Sedmero zastaveni paní O. - Úplně vyřízený chlap : Krátké rekviem za Percivala Anglcmana - Rány v dešti.	English	1958	2
Macinnes, Colin	City of Spades. Recenze s ukázkami. Viz zázn. 1029.			
Mclucas, Leroy	746 Narodil jsem se ... (Americký fotograf o sobě a své práci.) 8/1, str. 20-22. 1 fot. - Fotografie autora.		1963	1
Macumoto, Seičó	747 Neštěstí. (Povídka ze sbírky Černá obrázková kniha.) Z japonštiny přeložil Ivan Krouský. Ilustroval Svatopluk Pitra. 7/4, str. 235-256. - Poznámka s fotografií autora.	Japanese	1962	4
Mahen, Jiří	748 Dodnes si považujeme za čest ... (Citát.) 3/6, str. 197.		1958	6
Machado, Aníbal	749 Klavfr. (Povídka.) Z portugalštiny přeložil a poznámku na str. 138 napsal Eugen Spálený. Ilustrace Karel Hruška. 4/4, str. 159-169.	Portuguese	1959	4
Machonin, Sergej	"750 Romdn, který provokuje - a nutí myslet. Recenze s ukázkami z románu Jerzy Andrzejewského „Onť se béře, skáče po těch horách"". Ukázky z polštiny přeloiila Vendulka Zapletalová. 9/4, str. 215-224. - Foto• grafie J. Andrzejewského."	Polish	1964	4
Mailer, Norman	The Naked and the Dead (Nazí a mrtví). Recenze s ukózkami. Viz zázn. 489.			
Majakovskij, Vladimir Vladimirovič	751 Sprdvnd věc. (Úryvek básně.) Přeloženo z ruštiny. 2/5, str. 87. - Záběr z filmu V. J. Pudovkina Konec Petrohradu.	Russian	1957	5
Maksimov, Vladimir	752 Zalidňujeme zemi. (Mikroromán.) Z ruštiny přeloiila Jarmila Fromková. Ilustroval Jan Kubíček. 8/1, str. 154-169.	Russian	1963	1
Malamud, Bernard	753 Volba povol dní - Moje nejmilejší barva je černd - Německf uprch/Fk. (Povídky.) Z angličtiny přeložili Luba a Rudolf Pellarovi. Ilustrovala Olga Karlíková. 10/4, str. 1-23. - Poznámka s fotografii autora.	English	1965	4
Malaparte, Curzio	Jd v Rusku a Číně. Recenze s ukázkami. Viz zázn. 993. Zatracení Toskdnci. Recenze s ukázkami. Viz zázn. 993.			
Málek, Karel	754 Anatol Stern : Tajemství bdsníka. Recenze s ukázkami ze studie o genealogickém původu Guillauma Apollinaira, uveřejněné v časopise i:ycie literackie. 5/4, str. 217 al		1960	4
Málek, Karel	231. - Fotografie G. Apollinaira a detail portrétu vévody Zákupského od M. M. Daffingera.			
Mallet-Joris, Fran~oise	755 Popelník - Kordélie - Popelnice. (Povídky.) Z francouzštiny přeložil a poznámku napsal Jiřl Konůpek. 4/2, str. 38--56.	French	1959	2
Maltz, Albert	756 Obrazy. (Povídka.) Z angličtiny přeložila Šárka Harrerová. Ilustroval Vladimír Fuka. 7/1, str. 53--62. - Stručná charakteristika autora.	English	1962	1
Maltz, Albert	757 Smích jako zvoneček. (Povídka.) Z angličtiny přeloiila J. E. (= Jarmila Emmerová). Ilustrovala Nina Papoušková. 4/6, str. 36-48. - Poznámka.	English	1959	6
Man Ray viz Ray, Man	Mandel'štam, Osip Emll'jevič	758 Kdo našel podkovu - Šeredný dnes je den - Op/ameňuje plamen ... - Hůl - Nespokojeně táhnou ... - Kde řfmštl soudcové ... - Já nenávidlm svit .. . - Na tichých předměst/ ch ... - Ó nebe . .. - Na selských sanlch ... - Tahle noc ... - V Petěrburgu ... - V kuchyni .. . - Ve městě ... - Z paplru vergé . .. - S malftkem v řece .. . - Půlnoc v Moskvě - S mocnářským světem ... - Já nezměnlm se ... - A. A. A. - Ó jak milujem. .. - Muslm žit ... - Byl den .. . - Ještě jsem neumřel ... (Básně .) Z ruštiny přelofil i Václav Daněk a Jan Zábrana. Úvodní stať napsali -dz- (= Ludmila Dušková a Jan Zábrana). 10/3, str. 172-187. - Fotografie autora.	758 Kdo našel podkovu - Šeredný dnes je den - Op/ameňuje plamen ... - Hůl - Nespokojeně táhnou ... - Kde řfmštl soudcové ... - Já nenávidlm svit .. . - Na tichých předměst/ ch ... - Ó nebe . .. - Na selských sanlch ... - Tahle noc ... - V Petěrburgu ... - V kuchyni .. . - Ve městě ... - Z paplru vergé . .. - S malftkem v řece .. . - Půlnoc v Moskvě - S mocnářským světem ... - Já nezměnlm se ... - A. A. A. - Ó jak milujem. .. - Muslm žit ... - Byl den .. . - Ještě jsem neumřel ... (Básně .) Z ruštiny přelofil i Václav Daněk a Jan Zábrana. Úvodní stať napsali -dz- (= Ludmila Dušková a Jan Zábrana). 10/3, str. 172-187. - Fotografie autora.	758 Kdo našel podkovu - Šeredný dnes je den - Op/ameňuje plamen ... - Hůl - Nespokojeně táhnou ... - Kde řfmštl soudcové ... - Já nenávidlm svit .. . - Na tichých předměst/ ch ... - Ó nebe . .. - Na selských sanlch ... - Tahle noc ... - V Petěrburgu ... - V kuchyni .. . - Ve městě ... - Z paplru vergé . .. - S malftkem v řece .. . - Půlnoc v Moskvě - S mocnářským světem ... - Já nezměnlm se ... - A. A. A. - Ó jak milujem. .. - Muslm žit ... - Byl den .. . - Ještě jsem neumřel ... (Básně .) Z ruštiny přelofil i Václav Daněk a Jan Zábrana. Úvodní stať napsali -dz- (= Ludmila Dušková a Jan Zábrana). 10/3, str. 172-187. - Fotografie autora.
Mandiargues, André Pieyre de	759 Z krysy syn. (Povídka.) Z francouzštiny přeložil Josef Pospíšil. Ilustroval Aleš Veselý. Úvodní poznámku napsal Maurice Nadeau. 10/4, str. 62-72. - Fotografie autora.	French	1965	4
Mann, Heinrich	760 Gretinka. Novela. Z němčiny přeložil Valter Feldstein. 1/3, str. 97-109. - Poznámka o autorovi.	German	1956	3
Mann, Thomas	"761 Promluva v Schillerově roce 1955. Prosloveno v Národním divadle ve Výmaru 14. května 1955. Z němčiny přeložil a vysvětlivkami opatřil Pavel Eisner. 1/ 2, str. 176-189. - Schillerův portrét p ř ipisovaný J. F. Weckerlenovi. Promluvě p ředchází vzpomínka Hugo Siebenscheina,.Poslední setkání s Tomášem Mannem""."	German		
Mann, Thomas	762 V zrcadle. Črta z roku 1907. Z n ěmči ny p řeloži l P. E. ( = Pavel Eisner). 1 /1, str. 180-182. - Kresba T. Manna od Františka Bidla.			
Mansour, Joyce	Pozvěte si mě ... - Slepá tápánf - V noci jsem tu/al ka - Neznáte mou tvář. (Básně.) Viz zázn. 1103.			
Manuel, Adsuara	763 Reprodukce obrazu. 4/ 2, str. 130.			
Monzu, Giacomo	Ukázky z dl/a. Viz zázn. 581.			
Mao Ce-tung	764 Dvě básně pro démona nakažlivých nemoci. Podle překladu J. Hejzlara přebásnil Ladislav Fikar. 4/5, str. 21.	765 Nepolitický člověk je člověk bez duše. (Citát.) Přeloženo z člnštiny. 3/3, str. 54.	765 Nepolitický člověk je člověk bez duše. (Citát.) Přeloženo z člnštiny. 3/3, str. 54.	765 Nepolitický člověk je člověk bez duše. (Citát.) Přeloženo z člnštiny. 3/3, str. 54.
Marceau, Félicien	766 Vajlčko. (Divadelní hra.) Z francouzštiny přeložili Milena a Josef Tomáškovi. 4/1, str. 89-115.1 obr. - Následuje stať Jana Kopeckého Hodina 0,00 ve francouzském dramatu.	French	1959	1
Mareš, Stanislav	767 Kdo potom neumlrá. (Článek o americkém spisovateli Williamu Saroyanovi.) 9/3, str. 190-192. - Fotografie W. Saroyana. Následuj( ukázky ze Saroyanovy Knihy o neumírání.		1964	3
Mareš, Stanislav	768 Poesie v Poesii. (Časopis Poetry, ročník 1957.) Recenze s ukázkami. 3/6, str. 228-234. - Fotografie obálek časopisu Poetry. Ukázky: Harry Brown: Dvě nesouvislá fakta - W. S. Merwin: Malil:k<Í žena na Swallow Street - John Woods: Báse~ vodou - John Ashbery: Od11k6nl - Babette Deutschov<Í: Tkvěnl - Wallace Stevens: Adagia (B<Ísně.) - Paul Carroll: Prorok bez poct (Próza.).		1958	6
Marinkovié, Ranko	"769 Karneval. Povídka z knihy novel „Ruke"". Ze srbocharvátštiny přeložila Anna Urbanová. Obrázek nakreslil Miroslav Váša. 1/1, str. 128-142. - Poznámka o auto• rovi. no Sukně. (Povídka.) Ze 130. - Vychází pod společným názvem Dvacet a jedna a se slovníčkem autorů.srbocharvátštiny přeložil Dušan Karpatský. Ilustroval Bohumil Štěpán. 9/6, str. 118 až"	Serbocroatian	1956	6
Mark Twain	771 Literárnl prohřešky Fenimora Coopera. Literárně kritická črta. Z angličtiny přeložil Zdeněk Urbánek. 1/1, str. 157-164. 2 obr. - Ediční poznámka.	English	1956	
Mark Twain	772 Skutečná historie povldky o skákavé žábě. Z angličtiny přeložili Emanuela a Emanuel Tilschovi. 1/3, str. 175 až 181. 4 obr. - Věnování Světové literatury Kruhu překladatelů při Svazu čs. spisovatelů.  Fotografie autora. n3 Výňatky z Adamova den/ku. Z angličtiny přeložil Tomáš Korbař. Ilustroval Vilém Reichmann. 2/2, str. 247-256.	English	1956	3
Markandaya, Kamala	Nectar in a Sieve. Recenze s ukázkami. Viz zázn. 1429.			
Markov, Georgi	Gospožata na gospodina tčzrgoveca sčzs sirene (Žena obchodníka se sýrem). Recenze s ukázkami. Viz zázn. 886.			
Marshall, Alan	774 Pověz ještě o tom krocanovi, Jo - Slunečnf píseň - Pes a klokan. (Povídky.) Přeložila z angličtiny Zora Wolfová. Ilustrace k povídce Pověz ještě o tom krocanovi, Jo Helena Zmatlíková. U povídky Pes a klokan použito lidových maleb. 3/3, str. 87-9S. - Úvodní poznámka s fotografií autora. Vyšlo pod souborným názvem Příběhy z Austrálie.	English	1958	3
Martialis, Marcus Valerius	77S Epigramy. Z latiny přebásnil Radovan Krátký. Kresby Antonína Pelce. 2/1, str. 182-18S. Chyba v datu - Slepá láska - Navoněné Gellii - Advokát Post• humus - Phileros~lovec věn - Je mnoho záhad na světě ... - Prosbička - Muž vynikajícfch vlastností - Kdyby-chyby - Vacerrova kritická met hod a - Výstižný nápis - Podařená zábava .		1957	
Martin, David	776 Přfměřf 1945. (Báseň.) Z angličtiny přeložila Hana Žantovská. 3/3, str. 70-71. - Vyšlo pod souborným názvem Příběhy z Austrálie.	English	1958	3
Martin du Gard, Maurice	"777 Hrst lístků z kroniky francouzského kulturnfho života. (Výbor z knihy vzpomínek „Pamětihodní"".) Vybral a z francouzštiny přeložil Jiří Konůpek. 4/2, str. 230 až 236."	French	1959	2
Martin du Gard, Roger	778 Ndčrt předmluvy k Jeanu Baroisovi. Z francouzštiny přeložila M. K. ( = Milena Kopecká). 7/1, str. 246-247.	French	1962	1
Martínez, Enrique González	Zakruť krk labuti ... (Báseň.) Viz zázn. 912.			
Martínez, José Luíz	779 Hlavni proudy v současné mexické literatuře. (Studie.) Z francouzského překladu španělského originálu přeložila Sylva Daníčková, poznámkami opatřil Ivan Slavík. 8/3, str. 98---104.	Spanish	1963	3
Martinson, Harry	Aniara. Recenze s ukázkami. Viz zázn. 142S.			
Kabelovd loď - V červnu - Na Kongu. (Básně.) Viz zázn. 790.				
Maruta, Leszek	780 Spisovatel. (Povídka.) Z polštiny přeložil Bořivoj Křemenák. S/3, str. 223-224.	Polish		
Marx, Karl	781 Nevědomost je démon a obávám se, že ještě způsobí mnoho tragedií. .. (Citát.) Přeloženo z němčiny. 4/1, str. 233.	German	1959	1
- Engels, Friedrich	782 Komunistická revoluce je nejradikálněj§fm rozchodem s tradičními vlastnickými vztahy... (Citát z Manifestu komunistické strany.) Přeloženo z němčiny. 2/5, str. 256.	German	1957	5
Masenko, Teren'	Tichý pokojík. (Báseň.) Viz zázn. 1131.			
Maschler, Tom	Dec/aration. Recenze s ukázkami. Viz zázn. 1216. Mastronardi, Lucio	783 Reklamní panáci. (Povídka.) Z italštiny přeložil a poznámku o autorovi napsal Josef Hajný. Ilustroval c'.:eněk Pražák. 10/4, str. 31-41. - Fotografie autora.	783 Reklamní panáci. (Povídka.) Z italštiny přeložil a poznámku o autorovi napsal Josef Hajný. Ilustroval c'.:eněk Pražák. 10/4, str. 31-41. - Fotografie autora.	783 Reklamní panáci. (Povídka.) Z italštiny přeložil a poznámku o autorovi napsal Josef Hajný. Ilustroval c'.:eněk Pražák. 10/4, str. 31-41. - Fotografie autora.
Mathesius, Bohumil	784 Ruská literatura za Sovětů. (Studie.) 7/4, str. 210-217. - Dřevořez Hopa Grieshabera. Fotografie autora.		1962	4
Matuszewski, Ryszard	785 O některých praktických problémech polské literárnf kritiky. Z polštiny přeložil Josef PeHšek. 6/1, str. 229-234. - Poznámka redakce.	Polish	1961	1
Matute, Ano María	786 Špindíra - Fausto. (Povídky.) Ze španělštiny přeložila Jarmila Kvapilová. Ilustroval Josef Jíra. Charakteristiku autorky napsal E. H. (= Eduard Hodoušek). 7/2, str. 150-160. - Fotografie autorky.	Spanish	1962	2
Maupassant, Guy de	787 Petice muže, jenž se stal světákem proti své vůli - Odkaz - Korsický příběh. (Povídky.) Z francouzštiny přeložil Josef Pospíšil. Kresby Siné. 3/1, str. 247-256.	French	1958	1
Maurer, Georg	Měsfc - Vy, kdož se dnes narodfte ... (Básně.) Viz zázn. 1193.			
Maurois, André	Le Roses de Septembre (Zářijové růže). Recenze s ukázkami. Viz zázn. 585.			
